gene	Sample_ID	compendium_version	drugs	rollup_cohort	Pathway_support_for_outlier
CLEC11A	TH34_1150_S02	v8		pancancer	NA
CLVS2	TH34_1150_S02	v8		pancancer	NA
CNTFR	TH34_1150_S02	v8		pancancer	NA
CPEB2	TH34_1150_S02	v8		pancancer	NA
CPNE7	TH34_1150_S02	v8		pancancer	NA
CRHR1-IT1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
CSAD	TH34_1150_S02	v8		pancancer	NA
CTA-228A9.3	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
CTD-2270P14.1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
CTD-2270P14.1	TH34_1150_S02	v8		pandisease	NO_PATHWAY_SUPPORT_RESULTS
CYP26B1	TH34_1150_S02	v8		pancancer	NA
CYP4F22	TH34_1150_S02	v8		pancancer	NA
D2HGDH	TH34_1150_S02	v8		pancancer	NA
DAAM2	TH34_1150_S02	v8		pancancer	NA
DAAM2	TH34_1150_S02	v8		pandisease	NA
DDX17	TH34_1150_S02	v8		pancancer	NA
DDX42	TH34_1150_S02	v8		pancancer	KEGG_SPLICEOSOME(8/128)
DDX42	TH34_1150_S02	v8		pandisease	NA
DFNB31	TH34_1150_S02	v8		pancancer	NA
DKK2	TH34_1150_S02	v8		pancancer	NA
DLG2	TH34_1150_S02	v8		pancancer	NA
DMTF1	TH34_1150_S02	v8		pancancer	NA
DMTF1	TH34_1150_S02	v8		pandisease	NA
DNER	TH34_1150_S02	v8		pancancer	NA
DUX4L50	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
ECE2	TH34_1150_S02	v8		pancancer	NA
ELF2	TH34_1150_S02	v8		pancancer	NA
ELF2	TH34_1150_S02	v8		pandisease	NA
EOGT	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
EOGT	TH34_1150_S02	v8		pandisease	NO_PATHWAY_SUPPORT_RESULTS
EPB41	TH34_1150_S02	v8		pancancer	NA
EPC1	TH34_1150_S02	v8		pancancer	NA
EPHA4	TH34_1150_S02	v8		pancancer	NA
ERF	TH34_1150_S02	v8		pancancer	NA
EXOC6B	TH34_1150_S02	v8		pancancer	NA
EXOC6B	TH34_1150_S02	v8		pandisease	NA
FAM156A	TH34_1150_S02	v8		pancancer	NA
FAM156B	TH34_1150_S02	v8		pancancer	NA
FAM175A	TH34_1150_S02	v8		pancancer	NA
FAM19A5	TH34_1150_S02	v8		pancancer	NA
FAM219B	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
FAM46A	TH34_1150_S02	v8		pancancer	NA
FAM65C	TH34_1150_S02	v8		pancancer	NA
FAT4	TH34_1150_S02	v8		pancancer	NA
FCGRT	TH34_1150_S02	v8		pancancer	NA
FEZF1	TH34_1150_S02	v8		pancancer	NA
FEZF1-AS1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
FLRT2	TH34_1150_S02	v8		pancancer	NA
FNBP4	TH34_1150_S02	v8		pancancer	NA
FRZB	TH34_1150_S02	v8		pancancer	NA
FUBP1	TH34_1150_S02	v8		pancancer	NA
G0S2	TH34_1150_S02	v8		pancancer	NA
GABPB1-AS1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
GAS1	TH34_1150_S02	v8		pancancer	NA
GIGYF1	TH34_1150_S02	v8		pancancer	NA
GLG1	TH34_1150_S02	v8		pancancer	NA
GOLGA8N	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
GOLGA8N	TH34_1150_S02	v8		pandisease	NO_PATHWAY_SUPPORT_RESULTS
GPR174	TH34_1150_S02	v8		pancancer	NA
GRK5	TH34_1150_S02	v8		pancancer	NA
GRM2	TH34_1150_S02	v8		pancancer	NA
GSTM5	TH34_1150_S02	v8		pancancer	NA
HERC4	TH34_1150_S02	v8		pancancer	NA
HHIP-AS1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
HHIP-AS1	TH34_1150_S02	v8		pandisease	NO_PATHWAY_SUPPORT_RESULTS
HIPK1	TH34_1150_S02	v8		pancancer	NA
HMCN1	TH34_1150_S02	v8		pancancer	NA
HNRNPDL	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
HNRNPH1	TH34_1150_S02	v8		pancancer	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA(8/140),REACTOME_MRNA_PROCESSING(8/161),REACTOME_MRNA_SPLICING(7/111)
HNRNPU-AS1	TH34_1150_S02	v8		pancancer	NA
HOOK1	TH34_1150_S02	v8		pancancer	NA
HOXB13	TH34_1150_S02	v8		pancancer	NA
HOXB8	TH34_1150_S02	v8		pancancer	NA
HS3ST4	TH34_1150_S02	v8		pancancer	NA
IGF2BP1	TH34_1150_S02	v8		pancancer	NA
IGLON5	TH34_1150_S02	v8		pancancer	NA
IPO5	TH34_1150_S02	v8		pancancer	NA
IRS1	TH34_1150_S02	v8		pancancer	NA
ITM2A	TH34_1150_S02	v8		pancancer	NA
IVNS1ABP	TH34_1150_S02	v8		pancancer	NA
JAK1	TH34_1150_S02	v8	RUXOLITINIB,Ruxolitinib,PEMBROLIZUMAB,ENZASTAURIN,INCB18424,AZD1480	pancancer	NA
JAKMIP2	TH34_1150_S02	v8		pancancer	NA
JPH1	TH34_1150_S02	v8		pancancer	NA
JPH4	TH34_1150_S02	v8		pancancer	NA
KANSL1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
KANSL1	TH34_1150_S02	v8		pandisease	NO_PATHWAY_SUPPORT_RESULTS
KCNE4	TH34_1150_S02	v8		pancancer	NA
KDSR	TH34_1150_S02	v8		pancancer	NA
KIAA0895L	TH34_1150_S02	v8		pancancer	NA
KIAA0907	TH34_1150_S02	v8		pancancer	NA
KIAA0907	TH34_1150_S02	v8		pandisease	NA
KIAA1456	TH34_1150_S02	v8		pancancer	NA
KMO	TH34_1150_S02	v8		pancancer	NA
KSR1	TH34_1150_S02	v8		pancancer	NA
LDB2	TH34_1150_S02	v8		pancancer	NA
LECT1	TH34_1150_S02	v8		pancancer	NA
LENG8	TH34_1150_S02	v8		pancancer	NA
LETMD1	TH34_1150_S02	v8		pancancer	NA
LINC00342	TH34_1150_S02	v8		pancancer	NA
LINC00632	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LINC01089	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LINC01547	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LINGO1	TH34_1150_S02	v8		pancancer	NA
LIPI	TH34_1150_S02	v8		pancancer	NA
LL21NC02-1C16.2	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LMO2	TH34_1150_S02	v8		pancancer	HALLMARK_PANCREAS_BETA_CELLS(4/40)
LONRF1	TH34_1150_S02	v8		pancancer	NA
LOXHD1	TH34_1150_S02	v8		pancancer	NA
LRCH3	TH34_1150_S02	v8		pancancer	NA
LRCH3	TH34_1150_S02	v8		pandisease	NA
LRRC4C	TH34_1150_S02	v8		pancancer	NA
LSAMP	TH34_1150_S02	v8		pancancer	NA
LTA4H	TH34_1150_S02	v8		pancancer	NA
LTBP4	TH34_1150_S02	v8		pancancer	NA
LTBP4	TH34_1150_S02	v8		pandisease	NA
LUC7L3	TH34_1150_S02	v8		pancancer	NA
LUC7L3	TH34_1150_S02	v8		pandisease	NA
MAPT	TH34_1150_S02	v8		pancancer	NA
MAPT-AS1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
MAPT-IT1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
MAT2A	TH34_1150_S02	v8		pancancer	NA
MEG3	TH34_1150_S02	v8		pancancer	NA
METTL3	TH34_1150_S02	v8		pancancer	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA(8/140),REACTOME_MRNA_PROCESSING(8/161)
MIS18BP1	TH34_1150_S02	v8		pancancer	NA
MLC1	TH34_1150_S02	v8		pancancer	NA
MOXD1	TH34_1150_S02	v8		pancancer	NA
MOXD1	TH34_1150_S02	v8		pandisease	NA
MRI1	TH34_1150_S02	v8		pancancer	NA
MRPL22	TH34_1150_S02	v8		pancancer	NA
MSL1	TH34_1150_S02	v8		pancancer	NA
MYL5	TH34_1150_S02	v8		pancancer	NA
NAPSA	TH34_1150_S02	v8		pancancer	NA
NAPSA	TH34_1150_S02	v8		pandisease	NA
NBPF3	TH34_1150_S02	v8		pancancer	NA
NEIL1	TH34_1150_S02	v8		pancancer	NA
NEU4	TH34_1150_S02	v8		pancancer	NA
NKTR	TH34_1150_S02	v8		pancancer	NA
NKX2-2	TH34_1150_S02	v8		pancancer	HALLMARK_PANCREAS_BETA_CELLS(4/40)
NPW	TH34_1150_S02	v8		pancancer	NA
NPY	TH34_1150_S02	v8		pancancer	NA
NPY1R	TH34_1150_S02	v8		pancancer	NA
NPY5R	TH34_1150_S02	v8		pancancer	NA
NR0B1	TH34_1150_S02	v8		pancancer	NA
NRD1	TH34_1150_S02	v8		pancancer	NA
OGN	TH34_1150_S02	v8		pancancer	NA
OGT	TH34_1150_S02	v8		pancancer	NA
OLFM3	TH34_1150_S02	v8		pancancer	NA
ORAOV1	TH34_1150_S02	v8		pancancer	NA
PAPPA	TH34_1150_S02	v8		pancancer	NA
PAX3	TH34_1150_S02	v8		pancancer	NA
PAX7	TH34_1150_S02	v8		pancancer	NA
PAXBP1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
PAXBP1	TH34_1150_S02	v8		pandisease	NO_PATHWAY_SUPPORT_RESULTS
PCDH8	TH34_1150_S02	v8		pancancer	NA
PCF11	TH34_1150_S02	v8		pancancer	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA(8/140),REACTOME_MRNA_PROCESSING(8/161),REACTOME_MRNA_SPLICING(7/111),REACTOME_MRNA_3_END_PROCESSING(4/35),REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_(4/44)
PCMTD2	TH34_1150_S02	v8		pancancer	NA
PCSK1	TH34_1150_S02	v8		pancancer	HALLMARK_PANCREAS_BETA_CELLS(4/40)
PCSK1	TH34_1150_S02	v8		pandisease	NA
PCSK2	TH34_1150_S02	v8		pancancer	HALLMARK_PANCREAS_BETA_CELLS(4/40)
PDCD1	TH34_1150_S02	v8	PEMBROLIZUMAB,PIDILIZUMAB,Pembrolizumab,NIVOLUMAB,CT-011,Nivolumab,MDX-1106	pancancer	NA
PDS5B	TH34_1150_S02	v8		pancancer	NA
PENK	TH34_1150_S02	v8		pancancer	NA
PGAP1	TH34_1150_S02	v8		pancancer	NA
PHF21A	TH34_1150_S02	v8		pancancer	NA
PHKA2	TH34_1150_S02	v8		pancancer	NA
PKP1	TH34_1150_S02	v8		pancancer	NA
PLCXD1	TH34_1150_S02	v8		pancancer	NA
PLEKHH2	TH34_1150_S02	v8		pancancer	NA
PLEKHH2	TH34_1150_S02	v8		pandisease	NA
PNISR	TH34_1150_S02	v8		pancancer	NA
PNN	TH34_1150_S02	v8		pancancer	NA
POU3F1	TH34_1150_S02	v8		pancancer	NA
POU3F2	TH34_1150_S02	v8		pancancer	NA
POU4F2	TH34_1150_S02	v8		pancancer	NA
PPAPDC2	TH34_1150_S02	v8		pancancer	NA
PPFIA1	TH34_1150_S02	v8		pancancer	NA
PPFIA1	TH34_1150_S02	v8		pandisease	NA
PPFIA3	TH34_1150_S02	v8		pancancer	NA
PPP2R2A	TH34_1150_S02	v8		pancancer	NA
PPWD1	TH34_1150_S02	v8		pancancer	NA
PRDM2	TH34_1150_S02	v8		pancancer	NA
PRKCB	TH34_1150_S02	v8	SOPHORETIN,ENZASTAURIN	pancancer	NA
PROX1	TH34_1150_S02	v8		pancancer	NA
PRPF39	TH34_1150_S02	v8		pancancer	NA
PRPH	TH34_1150_S02	v8		pancancer	NA
PRRT2	TH34_1150_S02	v8	BRYOSTATIN	pancancer	NA
PRSS35	TH34_1150_S02	v8		pancancer	NA
PSD	TH34_1150_S02	v8		pancancer	NA
PSMA3-AS1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
PTPRR	TH34_1150_S02	v8		pancancer	NA
PTPRR	TH34_1150_S02	v8		pandisease	NA
R3HDM2	TH34_1150_S02	v8		pancancer	NA
RABGAP1	TH34_1150_S02	v8		pancancer	NA
RASGEF1B	TH34_1150_S02	v8		pancancer	NA
RBBP6	TH34_1150_S02	v8		pancancer	NA
RBBP6	TH34_1150_S02	v8		pandisease	NA
RBFOX2	TH34_1150_S02	v8		pancancer	NA
RBM11	TH34_1150_S02	v8		pancancer	NA
RBM25	TH34_1150_S02	v8		pancancer	KEGG_SPLICEOSOME(8/128)
RBM5	TH34_1150_S02	v8		pancancer	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA(8/140),REACTOME_MRNA_PROCESSING(8/161),REACTOME_MRNA_SPLICING(7/111)
RBMX	TH34_1150_S02	v8		pancancer	KEGG_SPLICEOSOME(8/128),REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA(8/140),REACTOME_MRNA_PROCESSING(8/161),REACTOME_MRNA_SPLICING(7/111)
RERGL	TH34_1150_S02	v8		pancancer	NA
RERGL	TH34_1150_S02	v8		pandisease	NA
RFX5	TH34_1150_S02	v8		pancancer	NA
RNF141	TH34_1150_S02	v8		pancancer	NA
RNPC3	TH34_1150_S02	v8		pancancer	NA
RP11-1415C14.3	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-156P1.3	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-156P1.3	TH34_1150_S02	v8		pandisease	NO_PATHWAY_SUPPORT_RESULTS
RP11-347E10.1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-575L7.8	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-575L7.8	TH34_1150_S02	v8		pandisease	NO_PATHWAY_SUPPORT_RESULTS
RP11-673C5.1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-706O15.5	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-734K23.9	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-98J23.2	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP5-984P4.6	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
SAMD14	TH34_1150_S02	v8		pancancer	NA
SCG2	TH34_1150_S02	v8		pancancer	NA
SCN1A	TH34_1150_S02	v8		pancancer	NA
SCN1A	TH34_1150_S02	v8		pandisease	NA
SCN3A	TH34_1150_S02	v8		pancancer	NA
SCN3A	TH34_1150_S02	v8		pandisease	NA
SCN9A	TH34_1150_S02	v8		pancancer	NA
SFPQ	TH34_1150_S02	v8		pancancer	NA
SFTPA1	TH34_1150_S02	v8		pancancer	NA
SFTPA1	TH34_1150_S02	v8		pandisease	NABA_ECM_AFFILIATED(5/171),PID_HNF3A_PATHWAY(3/44)
SFTPA2	TH34_1150_S02	v8		pancancer	NA
